,Product name,Price,Review out of 5
0,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹39,999",4.6
1,"realme P3 Ultra 5G (Orion Red, 256 GB)","₹25,999",4.5
2,"Samsung Galaxy F07 (Green, 64 GB)","₹7,499",4.3
3,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,499",4.4
4,"realme 15 5G (Silk Pink, 128 GB)","₹25,999",4.4
5,"realme P4x 5G (Matte Silver, 128 GB)","₹15,999",4.4
6,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)","₹39,999",4.5
7,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,249",4.2
8,"realme P1 5G (Phoenix Red, 128 GB)","₹13,999",4.4
9,"realme P3x 5G (Midnight Blue, 128 GB)","₹12,998",4.4
10,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4.2
11,"realme P3 Lite 5G Charger in the Box (Purple Blossom, 128 GB)","₹11,999",4.4
12,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999",4.4
13,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹44,999",4.6
14,"realme Narzo 80 Lite 4G (Obsidian Black, 64 GB)","₹7,915",4.3
15,"realme Narzo 80 Lite 4G (Beach Gold, 64 GB)","₹8,118",4.3
16,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,08,990",4.7
17,"Samsung Galaxy F36 5G (Red, 128 GB)","₹16,999",4.3
18,"realme P4 Pro 5G (Dark Oak Wood, 256 GB)","₹26,999",4.4
19,"realme P3 Ultra 5G (Glowing Lunar White, 256 GB)","₹25,999",4.5
20,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,999",4.2
21,"realme 16 Pro 5G (Master Gold, 128 GB)","₹31,999",4.6
22,"Samsung Galaxy S25 Plus 5G (Silver Shadow, 256 GB)","₹75,999",4.7
23,"Samsung Galaxy Z Flip7 FE 5G (White, 128 GB)","₹89,999",4.3
24,"realme 14 Pro+ 5G (Emerald Drift, 256 GB)","₹24,999",4.4
25,"realme 14 Pro+ 5G (Suede Grey, 256 GB)","₹34,999",4.4
26,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹39,999",4.6
27,"Samsung Galaxy F07 (Green, 64 GB)","₹7,499",4.3
28,"realme P4 5G (Steel Grey, 256 GB)","₹21,499",4.4
29,"realme P3 Ultra 5G (Orion Red, 256 GB)","₹24,499",4.4
30,"OPPO K13x 5G 6000mAh and 45W SUPERVOOC Charger & AI (Midnight Violet, 128 GB)","₹12,499",4.4
31,"realme P4 5G (Forge Red, 128 GB)","₹19,499",4.4
32,"Samsung Galaxy S24 FE 5G (Mint, 256 GB)","₹39,999",4.5
33,"Samsung Galaxy F06 5G (Bahama Blue, 64 GB)","₹9,249",4.2
34,"realme P4 5G (Engine Blue, 128 GB)","₹19,499",4.4
35,"realme 14x 5G (Jewel Red, 128 GB)","₹15,999",4.4
36,"Samsung Galaxy F06 5G (Lit Violet, 128 GB)","₹9,999",4.2
37,"Samsung Galaxy A35 5G (Awesome Navy, 128 GB)","₹18,999",4.4
38,"realme P4 5G (Steel Grey, 128 GB)","₹19,499",4.4
39,"realme 14x 5G (Golden Glow, 128 GB)","₹14,428",4.3
40,"Samsung Galaxy S24 5G Snapdragon (Onyx Black, 256 GB)","₹44,999",4.6
41,"realme 15T 5G (Flowing Silver, 256 GB)","₹26,999",4.2
42,"Samsung S25 Ultra 5G (Titanium Gray, 256 GB)","₹1,07,987",4.7
43,"Samsung Galaxy F36 5G (Red, 128 GB)","₹16,999",4.3
44,"realme 14x 5G (Golden Glow, 128 GB)","₹14,758",4.4
45,"realme 14x 5G (Crystal Black, 128 GB)","₹15,047",4.4
46,"Samsung Galaxy F06 5G (Bahama Blue, 128 GB)","₹10,999",4.2
47,"Samsung Galaxy S25 Plus 5G (Silver Shadow, 256 GB)","₹75,999",4.7
48,"realme P3 Pro 5G (Galaxy Purple, 256 GB)","₹20,999",4.4
49,"realme 16 Pro+ 5G (Master Gold, 256 GB)","₹41,999",4.5
50,"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹39,999",4.6
